Barge/BTC Cargo (tonns)	RSD Cargo (tonns)	Loading Rate (tonns/hour)	Barges	BTCs	RSDs	Tugs	Ammount (tonns)	Rides	Lost Waiting Tide (hours)	Lost Waiting Loadier (hours)	Lost Waiting Unloader (hours)	Lost Waiting OGV (hours)	Lost Waiting Tug (hours)	Spent By River Tugs On Moving (hours)	Spent By River Tugs On Waiting (hours)	Spent By Sea Tows On Moving (hours)	Spent By Sea Tows On Waiting (hours)	Optimal Dist Load->Drop (nm)	
6000	3000	1500	2	0	0	1	252000	20	8	0	0	0	98	527	0	326	144	4	
6000	3000	2000	2	0	0	1	252000	20	4	0	3	0	114	522	0	339	152	4	
6000	3000	1500	3	0	0	1	252000	12	2	0	8	0	293	525	0	394	100	4	
6000	3000	2000	3	0	0	1	252000	12	2	0	9	0	306	523	0	394	100	4	
6000	3000	1500	4	0	0	1	240000	8	13	0	8	0	398	518	0	420	80	4	
6000	3000	2000	4	0	0	1	240000	8	13	0	8	0	408	518	0	420	80	4	
12000	3000	1500	0	1	0	1	156000	13	2	0	0	0	0	429	156	64	494	4	
12000	3000	2000	0	1	0	1	156000	13	2	0	0	0	0	461	132	66	485	4	
12000	3000	1500	0	2	0	1	276000	11	0	0	2	0	26	469	0	212	165	5	
12000	3000	2000	0	2	0	1	288000	12	12	0	24	0	29	449	0	196	213	5	
12000	3000	1500	0	2	0	1	276000	11	0	0	2	0	26	469	0	212	165	5	
12000	3000	2000	0	2	0	1	288000	12	12	0	24	0	29	449	0	196	213	5	
6000	3000	1500	2	0	0	2	294000	24	4	0	2	0	2	471	126	97	480	4	
6000	3000	2000	2	0	0	2	306000	25	3	0	2	16	2	487	104	99	467	4	
5200	3000	1500	3	0	0	2	317200	19	2	1	67	19	65	524	47	237	306	4	
5200	3000	2000	3	0	0	2	317200	19	8	0	68	24	75	525	38	239	303	4	
5200	3000	1500	4	0	0	2	317200	14	8	5	40	41	173	495	54	196	293	4	
5200	3000	2000	4	0	0	2	317200	13	5	2	77	57	138	521	26	247	245	4	
12000	3000	1500	0	1	0	2	156000	13	1	0	0	0	0	191	78	23	239	4	
12000	3000	2000	0	1	0	2	156000	13	1	0	0	0	0	207	66	25	234	4	
12000	3000	1500	0	2	0	2	288000	12	4	0	0	0	2	419	143	48	476	4	
12000	3000	2000	0	2	0	2	300000	12	1	0	3	0	3	422	132	48	478	4	
12000	3000	1500	0	2	0	2	288000	12	4	0	0	0	2	419	143	48	476	4	
12000	3000	2000	0	2	0	2	300000	12	1	0	3	0	3	422	132	48	478	4	
